id;nombre;tipo;stock;precio;requiere_receta
3454;FLUIDAN;Broncodilatador;63;7.27;NO
3455;FLUIDAR;Antimicotico;70;80.68;NO
3456;FLUIDAR FORTE;Vitaminas;108;95.19;SI
3457;FLUIDASA;Vitaminas;188;28.09;NO
3458;FLUIMAX;Antigripal;48;99.88;NO
3459;FLUIMAX®;Antihistaminico;23;70.61;NO
3460;FLUIMED;Dermocosmetica;125;59.61;SI
3461;FLUIMEXINA;Analgesico;246;21.28;NO
3462;FLUIMEXINA 600;Antiacido;168;80.98;SI
3463;FLUIMUCIL;Vitaminas;93;34.61;SI
3464;FLUIMUCIL ORAL;Antibiotico;154;33.37;NO
3465;FLUIXX;Vitaminas;206;5.42;SI
3466;FLUJESIN;Antimicotico;106;78.59;SI
3467;FLUKOL;Antimicotico;97;79.91;SI
3468;FLUKONACOM;Broncodilatador;32;97.41;SI
3469;FLUKONOR;Antigripal;57;47.42;NO
3470;FLUMAZENIL;Antiacido;145;16.43;SI
3471;FLUMETOL NF OFTENO;Antiacido;80;94.83;SI
3472;FLUMICZOL;Antigripal;191;69.88;NO
3473;FLUMIDAR;Antiinflamatorio;235;90.85;SI
3474;FLUMIL;Antibiotico;105;46.24;SI
3475;FLUMIVIT;Analgesico;67;95.57;NO
3476;FLUNARIZINA;Antibiotico;186;81.28;NO
3477;FLUNGOFYL;Antibiotico;170;42.25;SI
3478;FLUNIZOL;Vitaminas;49;34.47;NO
3479;FLUNOMYL;Antihistaminico;24;71.63;NO
3480;FLUOQUINOX;Antiacido;119;7.48;SI
3481;FLUOROURACILO;Antimicotico;136;93.81;SI
3482;FLUOXETINA;Vitaminas;197;63.93;NO
3483;FLUSAL 125 HFA;Antiacido;30;52.53;SI
3484;FLUSAL 250 HFA;Antibiotico;166;77.62;NO
3485;FLUTAMIDA;Antihistaminico;136;32.78;NO
3486;FLUTEPHARM 125 PLUS®;Antimicotico;225;37.15;NO
3487;FLUTEPHARM 250 PLUS ®;Vitaminas;190;99.56;NO
3488;FLUTICASAL HFA;Antibiotico;231;65.72;SI
3489;FLUTICASAL HFA 25/250;Antimicotico;130;77.87;SI
3490;FLUTICASONA;Dermocosmetica;84;43.81;NO
3491;FLUTICORT;Antihistaminico;120;46.57;SI
3492;FLUTITEROL 125 PLUS;Antimicotico;126;84.01;NO
3493;FLUTITEROL 250 PLUS;Antiacido;76;12.33;NO
3494;FLUTIVENT;Vitaminas;152;40.75;SI
3495;FLUTOX;Dermocosmetica;184;59.90;SI
3496;FLUVOXIN 100;Antiinflamatorio;29;84.52;NO
3497;FLUXATE;Dermocosmetica;218;96.75;NO
3498;FLUXT;Analgesico;87;72.89;SI
3499;FLUXUS;Dermocosmetica;145;48.38;SI
3500;FLUZOL;Antiacido;207;11.20;SI
3501;FOLINATO CALCICO;Antiinflamatorio;0;7.29;SI
3502;FOLINATO DE CALCIO;Antiacido;157;69.90;SI
3503;FOLTA;Antiinflamatorio;191;16.86;NO
3504;FONASTERIN;Vitaminas;193;68.92;NO
3505;FOR MEN;Antiacido;28;3.64;NO
3506;FOREMP 10;Antihistaminico;99;76.17;SI
3507;FOREMP 25;Dermocosmetica;223;68.87;NO
3508;FORMILAB;Broncodilatador;81;89.97;NO
3509;FORMILAB® 850;Antimicotico;141;16.93;SI
3510;FORPANIL;Antimicotico;162;54.60;NO
3511;FORTAFER;Antiacido;227;17.46;NO
3512;FORTB;Dermocosmetica;74;49.37;SI
3513;FORT-B12;Dermocosmetica;204;37.00;NO
3514;FORTEO;Antihistaminico;169;35.57;SI
3515;FORXIGA;Broncodilatador;86;77.41;NO
3516;FOSCAVIR;Vitaminas;213;15.10;SI
3517;FOSEAL-800;Broncodilatador;113;62.57;NO
3518;FOSFALAX;Antigripal;237;68.79;NO
3519;FOSFATO MONOBASICO DE SODIO + FOSFATO DIBASICO DE SODIO;Dermocosmetica;51;37.38;NO
3520;FOSFATOS DE POTASIO;Broncodilatador;228;12.41;NO
3521;FOSFOBIOTIC;Antiacido;180;87.07;NO
3522;FOSFOKALIUM;Analgesico;11;6.07;SI
3523;FOSFUROL;Antigripal;173;82.52;NO
3524;FOSLISELEN®;Antiacido;126;78.15;NO
3525;FOSMIN;Antiinflamatorio;192;44.14;SI
3526;FOSTER;Vitaminas;71;19.24;NO
3527;FOSTIMON;Antihistaminico;158;11.15;NO
3528;FOVEPTA;Vitaminas;93;95.33;NO
3529;FRAMIDEX NF;Antibiotico;181;78.33;SI
3530;FRAMYCORT;Antimicotico;199;67.82;SI
3531;FREDOL;Analgesico;219;51.80;NO
3532;FREDOL®;Antihistaminico;65;78.54;NO
3533;FREE LOVER;Broncodilatador;33;69.63;NO
3534;FREEFOL-MCT 1%;Antimicotico;136;93.73;SI
3535;FREEGEN;Antiacido;29;35.24;NO
3536;FREEGEN GEL;Antibiotico;59;68.41;SI
3537;FREEGEN PRESERVATIVE FREE;Antigripal;18;47.84;SI
3538;FRENADOL;Analgesico;110;27.20;NO
3539;FRENAGRIP;Dermocosmetica;87;77.70;NO
3540;FRENAGRIP PLUS;Antigripal;150;43.75;NO
3541;FRENALER;Analgesico;150;5.92;SI
3542;FRENAPHARM;Antiacido;47;72.71;SI
3543;FRENISTAL 120;Antimicotico;184;70.39;SI
3544;FRENISTAL 180;Antiacido;203;51.78;NO
3545;FRESH TEARS;Dermocosmetica;133;91.31;NO
3546;FRESOFOL 1% MCT;Antiinflamatorio;190;75.36;SI
3547;FRESOFOL 2% MCT;Dermocosmetica;191;74.56;SI
3548;FRESOFOL MCT;Broncodilatador;155;51.61;NO
3549;FRESOFOL PFS 1% MCT;Antihistaminico;59;71.72;SI
3550;FRESOFOL PFS 2% MCT;Antibiotico;132;39.70;NO
3551;FRUTENZIMA FORTE;Antiinflamatorio;57;76.73;NO
3552;FUCOMISOL;Antiinflamatorio;77;42.95;SI
3553;FULGRIP ALLERGY NOCHE;Analgesico;192;8.02;SI
3554;FULGRIP COMPUESTO;Antihistaminico;215;72.10;SI
3555;FULGRIP FORTE;Antihistaminico;68;85.48;SI
3556;FULGRIP PLUS ANTIGRIPAL;Analgesico;97;81.83;NO
3557;FULGRIP® NOCHE ANTIGRIPAL;Antiinflamatorio;203;54.42;SI
3558;FULVESTRANT;Antihistaminico;212;32.51;NO
3559;FUNCADEN;Vitaminas;128;44.95;NO
3560;FUNGI 150;Vitaminas;123;50.04;NO
3561;FUNGIDERM;Antiacido;65;80.40;SI
3562;FUNGIMAX;Analgesico;49;76.17;SI
3563;FUNGISIL;Dermocosmetica;79;41.76;SI
3564;FUNGOGEN;Antihistaminico;39;37.72;NO
3565;FUNGOSTATIN;Broncodilatador;111;27.08;NO
3566;FUNOMID;Antibiotico;160;88.26;NO
3567;FUNZAL TWIN;Antiinflamatorio;226;54.39;SI
3568;FURABACT 500;Broncodilatador;210;68.76;NO
3569;FURACIN;Antihistaminico;194;82.58;SI
3570;FURAZAL;Dermocosmetica;195;48.53;NO
3571;FURAZOLIDONA;Vitaminas;156;77.86;SI
3572;FURITEX;Antiacido;142;40.02;NO
3573;FUROFLUTIL;Antibiotico;166;72.74;SI
3574;FUROMEX - B;Antihistaminico;47;30.84;SI
3575;FUROSEMAX;Vitaminas;206;76.16;SI
3576;FUROSEMIDA;Broncodilatador;69;38.04;SI
3577;FUROXINOL;Antibiotico;40;84.55;SI
3578;FUROXONA;Dermocosmetica;205;83.79;SI
3579;FUROXONA FORTE;Antigripal;116;78.98;SI
3580;FUROZALIP;Vitaminas;190;56.84;SI
3581;FUROZIL FORTE;Antigripal;173;11.89;SI
3582;FUROZIX®;Vitaminas;210;54.46;NO
3583;FUSEMI;Antimicotico;216;22.62;SI
3584;FUSIMED;Antigripal;153;70.84;NO
3585;FUSIMED B;Antimicotico;158;6.38;SI
3586;FUSITOPIC;Analgesico;138;68.26;SI
3587;FUVESCORD;Antiacido;26;96.37;SI
3588;FUZEON;Dermocosmetica;41;80.40;SI
3589;FUZMEDIC;Antiinflamatorio;166;37.09;NO
3590;F-VRALGIN;Dermocosmetica;51;54.35;NO
3591;FYRAX;Antiacido;56;77.11;NO
3592;GAAP OFTENO;Dermocosmetica;26;64.82;NO
3593;GAAP OFTENO LIBRE DE CONSERVADORES (PF);Antibiotico;75;98.04;NO
3594;GAB-300;Analgesico;124;56.42;NO
3595;GABAHET 300;Vitaminas;160;51.46;SI
3596;GABAPENTINA;Analgesico;233;11.24;SI
3597;GABAPIN 300;Dermocosmetica;108;47.04;NO
3598;GABATINEX 300;Antiinflamatorio;201;4.02;SI
3599;GABTURIN;Antimicotico;171;93.23;NO
3600;GACIX;Analgesico;218;30.91;SI
3601;GADILEX;Antiinflamatorio;170;48.20;NO
3602;GADILEX COMPOSITUM;Antigripal;179;90.96;NO
3603;GADOFEM;Dermocosmetica;198;27.63;NO
3604;GALANTINA;Antihistaminico;228;90.27;SI
3605;GALANVITAE SR;Antibiotico;3;47.22;SI
3606;GALVUS;Antimicotico;239;48.44;NO
3607;GALVUS MET;Broncodilatador;70;29.77;NO
3608;GALVUS MET®;Analgesico;112;19.00;SI
3609;GAMALATE;Antihistaminico;28;35.61;NO
3610;GAMALATE B6;Antiinflamatorio;77;97.41;SI
3611;GAMALATE NF;Analgesico;46;67.34;SI
3612;GANCICLOMED ®;Antihistaminico;25;63.99;SI
3613;GANCICLOVIR;Antiacido;91;30.36;SI
3614;GANFORT;Analgesico;70;74.67;NO
3615;GANISET;Antigripal;203;53.21;SI
3616;GAPETINA;Antigripal;46;8.56;NO
3617;GARDASIL;Broncodilatador;37;48.98;SI
3618;GARDASIL 9(VACUNA NONAVALENTE RECOMBINANTE VPH);Antigripal;26;46.40;NO
3619;GARDIL;Dermocosmetica;173;39.07;NO
3620;GARSOBIL®;Antimicotico;179;32.28;NO
3621;GASELAB;Antiacido;239;18.14;SI
3622;GASELAB SABOR ANIS;Antimicotico;185;33.00;NO
3623;GASELAB SABOR FRESA;Analgesico;20;77.04;NO
3624;GASEO END;Dermocosmetica;229;64.54;SI
3625;GASEOBAL;Broncodilatador;93;41.11;NO
3626;GASEODEX;Antiinflamatorio;36;99.94;NO
3627;GASEOFAST 125;Vitaminas;66;66.32;NO
3628;GASEOFAST ANIS;Broncodilatador;19;74.56;SI
3629;GASEOFAST FRESA;Antigripal;64;48.65;NO
3630;GASEOFLAT FAST;Antibiotico;234;7.73;SI
3631;GASEOFLAT FRESA;Antiinflamatorio;133;35.51;NO
3632;GASEOFREE;Broncodilatador;8;59.21;NO
3633;GASEOMASS;Vitaminas;200;60.37;SI
3634;GASEOMEDIC;Dermocosmetica;154;43.82;NO
3635;GASEOMEDIC CB;Antiinflamatorio;204;67.97;SI
3636;GASEOMEET FRESA;Analgesico;175;74.84;SI
3637;GASEOPHAR SABOR FRESA;Antigripal;47;19.61;SI
3638;GASEOPLUS;Antibiotico;185;90.58;NO
3639;GASEOPLUS FRESA;Analgesico;225;71.06;SI
3640;GASEOQUIL®;Antigripal;121;53.03;NO
3641;GASEOVET;Antigripal;91;66.11;NO
3642;GASEOVET CB;Antimicotico;46;47.26;NO
3643;GASEOVET COMPOSITUM;Antiinflamatorio;233;64.92;SI
3644;GASEOVET FORTE SABOR ANIS;Antihistaminico;168;78.44;SI
3645;GASEOVET FORTE SABOR FRESA;Antiinflamatorio;128;34.70;SI
3646;GASEOVET MS;Antiinflamatorio;19;24.93;SI
3647;GASEOVET SABOR A ANIS;Analgesico;204;6.47;NO
3648;GASEOVET SABOR A FRESA;Antihistaminico;94;86.07;SI
3649;GASEOVET® CB;Antigripal;46;18.59;SI
3650;GASEOVET® MS;Antiacido;168;79.51;SI
3651;GASLESS FLASH;Antihistaminico;67;21.36;SI
3652;GASLESS MAX SABOR A CANELA;Antigripal;216;52.07;SI
3653;GASLESS ULTRA SABOR A UVA;Broncodilatador;62;91.43;NO
3654;GASLESS® FLASH;Antihistaminico;115;21.87;SI
3655;GASMOCI PRI;Antiinflamatorio;82;40.80;NO
3656;GASMOCI-PRI 160;Antibiotico;210;88.59;NO
3657;GASPAN;Antigripal;25;29.89;SI
3658;GASTRAL;Antihistaminico;16;81.57;NO
3659;GASTRINE;Analgesico;40;72.88;NO
3660;GASTRIUM;Antigripal;32;44.67;SI
3661;GASTRIUM F;Vitaminas;212;89.74;SI
3662;GASTRIZOL;Antigripal;108;91.49;SI
3663;GASTROALIV;Antimicotico;210;39.49;NO
3664;GASTROCOLL;Antibiotico;229;82.47;NO
3665;GASTROCOLL ®;Analgesico;107;44.79;NO
3666;GASTROCOLL®;Dermocosmetica;75;90.03;SI
3667;GASTRO-FRENACID;Antimicotico;144;43.06;NO
3668;GASTROLUD;Antigripal;24;47.41;NO
3669;GASTROPAN;Vitaminas;79;39.15;NO
3670;GASTROPRAZOL;Antihistaminico;10;79.33;SI
3671;GASTRORAL;Antiinflamatorio;79;61.14;SI
3672;GASTROXIL;Antiacido;81;36.59;SI
3673;GASVET;Broncodilatador;214;50.83;NO
3674;GASVET FLAT;Antiacido;151;74.76;SI
3675;GAXTROX 20;Dermocosmetica;209;38.49;SI
3676;GAXTROX 40;Vitaminas;41;7.67;SI
3677;GAZYVA;Broncodilatador;153;23.46;SI
3678;GELACNE;Antimicotico;112;23.25;SI
3679;GELASPAN;Antiacido;224;51.96;SI
3680;GELATO CHERRY TOPICAL ANESTHETIC GEL;Dermocosmetica;176;72.30;SI
3681;GELOFUSINE®;Broncodilatador;27;97.84;NO
3682;GEMAPAXANE;Antihistaminico;101;18.08;SI
3683;GEMCITABINA;Antiacido;102;83.47;SI
3684;GEMER 2;Antiinflamatorio;196;93.28;NO
3685;GEMFIBROLIP;Antimicotico;31;8.15;NO
3686;GEMFIBROZILO;Dermocosmetica;144;44.11;NO
3687;GEMFIDROZILO;Vitaminas;84;74.74;SI
3688;GEMFIMED;Antiinflamatorio;98;53.16;SI
3689;GEMIBINE 1000;Antiacido;213;59.92;SI
3690;GEMPLEX;Dermocosmetica;94;70.44;SI
3691;GEMTERO;Analgesico;211;50.02;NO
3692;GEMTERO 200;Analgesico;246;9.92;SI
3693;GEMUCORT;Broncodilatador;61;64.53;NO
3694;GENCIA;Antigripal;56;5.63;NO
3695;GENE VAC B;Analgesico;52;37.35;NO
3696;GENOTROPIN;Antihistaminico;240;61.82;SI
3697;GENSARNA;Dermocosmetica;124;71.64;SI
3698;GENTABIOT;Vitaminas;37;84.92;NO
3699;GENTACHYK®;Antiinflamatorio;236;51.36;NO
3700;GENTAGRAM;Antibiotico;45;4.41;SI
3701;GENTALIP 80;Antigripal;13;64.52;SI
3702;GENTAMARI;Antibiotico;109;97.85;SI
3703;GENTAMICINA;Analgesico;80;27.03;NO
3704;GENTAMIICINA;Antibiotico;247;14.78;SI
3705;GENTAOFTAL;Analgesico;138;90.35;SI
3706;GENTAPHAX;Antiacido;116;12.27;NO
3707;GENTASIL;Antiacido;181;15.37;SI
3708;GENTASIL®;Antibiotico;93;8.35;NO
3709;GENTAVAL 160;Vitaminas;117;78.99;SI
3710;GENTAX;Antiacido;5;42.80;NO
3711;GENTILE;Analgesico;64;54.08;SI
3712;GERMIDERM C;Vitaminas;91;59.10;NO
3713;GERMIGRAM B;Vitaminas;139;31.83;NO
3714;GESIC;Antigripal;2;97.89;NO
3715;GESICO DUO;Antiacido;48;20.88;SI
3716;GESIDOL;Antigripal;87;90.84;NO
3717;GESIDOL FORTE;Broncodilatador;159;90.28;NO
3718;GESIDOL®;Analgesico;184;63.16;NO
3719;GESLUTEAL;Antihistaminico;44;68.10;NO
3720;GESLUTIN-PNM;Antigripal;16;46.78;SI
3721;GESNAT 25;Vitaminas;75;9.99;SI
3722;GESNAT 50;Analgesico;197;29.71;SI
3723;GESTAGENO 200;Antihistaminico;94;91.63;SI
3724;GESTAGRAMIN;Antigripal;7;86.11;SI
3725;GESTREL;Antibiotico;147;48.53;NO
3726;GIARCIEN;Vitaminas;246;28.61;NO
3727;GIARCIEN 500;Vitaminas;2;39.41;NO
3728;GILENYA;Antimicotico;173;92.92;SI
3729;GINACABA;Antimicotico;202;30.18;NO
3730;GINEPROX;Broncodilatador;11;14.99;NO
3731;GINEPROX COMPOSITUM;Antimicotico;7;38.48;NO
3732;GINEVA;Broncodilatador;225;34.12;SI
3733;GINGISONA B;Antibiotico;103;71.52;SI
3734;GINGISONA B MENTA FRESH;Antihistaminico;70;60.28;NO
3735;GINGITRIOL;Dermocosmetica;27;5.25;SI
3736;GINNA;Vitaminas;38;85.86;NO
3737;GINNA CR AL 40G PER;Dermocosmetica;124;86.33;SI
3738;GINOFEM DUO;Antiinflamatorio;36;7.14;SI
3739;GINO-FUNGISTAT;Antibiotico;215;37.88;SI
3740;GINOFURAN XR;Antiinflamatorio;49;91.69;SI
3741;GINOTHYL;Broncodilatador;7;25.40;SI
3742;GINOXINOL;Antiinflamatorio;157;8.36;SI
3743;GIOTRIF;Antigripal;116;20.84;NO
3744;GIRALMET D3;Antihistaminico;83;95.54;SI
3745;GLAMAX EN OCUVIAL;Broncodilatador;55;39.78;SI
3746;GLANCIN 0.4;Analgesico;228;64.15;SI
3747;GLANCIN-D;Antigripal;101;43.68;SI
3748;GLANVIRAX;Vitaminas;142;71.06;SI
3749;GLARITUS;Antihistaminico;60;9.64;NO
3750;GLAUCOLIP;Antibiotico;102;64.22;NO
3751;GLAUCOMIDA;Dermocosmetica;114;50.22;SI
3752;GLAUCOTENSIL D;Antimicotico;108;68.70;NO
3753;GLAUCOTENSIL T;Antibiotico;109;80.57;NO
3754;GLAUCOX DUO;Antiacido;109;95.35;NO
3755;GLAUCOZOL;Vitaminas;152;34.33;SI
3756;GLEMAZ;Vitaminas;47;73.50;NO
3757;GLEMINEX;Antihistaminico;222;28.89;NO
3758;GLENMARK ARABITRO;Antigripal;202;39.31;SI
3759;GLENMARK BILAZAP;Analgesico;176;47.16;SI
3760;GLIBEMET;Antiacido;159;73.98;SI
3761;GLIBEMLIP-5;Antibiotico;39;40.89;SI
3762;GLIBENCLAMIDA;Antigripal;130;60.22;SI
3763;GLIBENIL;Antibiotico;178;74.24;NO
3764;GLIBEPHARM;Analgesico;106;83.93;SI
3765;GLICENEX;Antiacido;116;53.15;NO
3766;GLICENEX DUO;Analgesico;244;79.92;SI
3767;GLICENEX DUO 500/2.5;Antihistaminico;136;52.70;NO
3768;GLICENEX SR;Dermocosmetica;192;10.22;NO
3769;GLICENEX SR 1000;Analgesico;72;30.71;SI
3770;GLICENOB;Antiacido;71;75.97;NO
3771;GLICINA;Antimicotico;85;95.30;NO
3772;GLICOLAK® FREE;Antihistaminico;168;51.70;SI
3773;GLICOMED;Analgesico;97;46.46;SI
3774;GLIDANIL MET;Vitaminas;124;74.54;NO
3775;GLIDAT;Antihistaminico;95;58.21;NO
3776;GLIDIABET;Antihistaminico;168;45.98;NO
3777;GLIDIABICARE 2.5/500;Vitaminas;237;79.88;NO
3778;GLIDIABICARE 5/500;Analgesico;27;87.65;NO
3779;GLIFORMIN 1000 AP;Dermocosmetica;34;52.40;SI
3780;GLIFORMIN 500 AP;Broncodilatador;228;35.02;NO
3781;GLIMEBIOTECH;Antimicotico;197;83.67;SI
3782;GLIMEPIN;Antimicotico;107;41.31;SI
3783;GLIMEPIRIDA;Broncodilatador;128;80.14;NO
3784;GLIMESTALIP 4;Dermocosmetica;187;59.54;NO
3785;GLIMOT;Dermocosmetica;85;76.20;SI
3786;GLIOPHARM-HG;Analgesico;129;67.87;NO
3787;GLIREN;Antimicotico;139;26.43;SI
3788;GLIRIBET;Antigripal;85;83.43;SI
3789;GLIVEC;Broncodilatador;53;36.04;NO
3790;GLIXAFOR 10;Antimicotico;10;15.08;NO
3791;GLOMATINIB 400;Analgesico;173;13.24;SI
3792;GLOPURINE;Antiinflamatorio;77;51.99;NO
3793;GLORANTA;Analgesico;152;89.86;NO
3794;GLOTRAZ 2.5;Broncodilatador;162;4.83;SI
3795;GLUCAL;Vitaminas;32;98.40;NO
3796;GLUCANTIME;Antimicotico;89;13.15;NO
3797;GLUCEN DUO;Antiacido;88;46.96;NO
3798;GLUCOGLIP®;Antiinflamatorio;41;73.47;SI
3799;GLUCOMET;Antiinflamatorio;98;58.39;SI
3800;GLUCONATO DE CALCIO;Antimicotico;99;19.68;SI
3801;GLUCOPHAGE;Vitaminas;136;46.23;SI
3802;GLUCOPHAGE XR;Analgesico;36;90.96;NO
3803;GLUCOPHAGE® XR;Antiinflamatorio;22;31.78;NO
3804;GLUCOSA;Vitaminas;93;61.51;SI
3805;GLUCOSALINA;Antimicotico;62;88.62;NO
3806;GLUCOTRIN;Antigripal;23;17.94;NO
3807;GLUCOVANCE;Analgesico;216;20.23;SI
3808;GLUTAPHOS;Antimicotico;28;64.14;SI
3809;GLUTAPHOS DUO;Antigripal;148;42.91;SI
3810;GLYCINORM MR-60;Antiinflamatorio;236;60.38;NO
3811;GLYCOLAX;Antimicotico;53;61.86;NO
3812;GLYCOLAX 17;Antiinflamatorio;138;76.13;SI
3813;GLYCOPHOS;Antibiotico;88;12.98;NO
3814;GLYMAR;Antiacido;144;28.23;SI
3815;GLYPRESSIN;Vitaminas;162;97.94;NO
3816;GLYPRIDE 4;Antigripal;129;79.18;NO
3817;GLYSITA;Antigripal;81;70.20;NO
3818;GLYXAMBI;Antiinflamatorio;149;70.80;NO
3819;GMEDFARIX;Antiacido;13;65.23;SI
3820;GMEDFARLID®;Dermocosmetica;224;99.29;NO
3821;G-MOL;Antiinflamatorio;242;14.37;SI
3822;GODEK;Dermocosmetica;123;46.30;SI
3823;GOFEN 200;Antimicotico;92;65.46;NO
3824;GOFEN 400;Antibiotico;207;59.43;NO
3825;GOGAZ;Antiacido;145;91.25;SI
3826;GOMIVOL-D;Antiacido;158;87.61;NO
3827;GONAL F;Antiinflamatorio;43;34.21;SI
3828;GONAPEPTYL DAILY;Broncodilatador;55;23.81;SI
3829;GOTABIOTIC;Antiacido;248;53.65;SI
3830;GOTABIOTIC PLUS;Antiacido;101;96.81;NO
3831;GOTECINA;Antiinflamatorio;212;42.14;NO
3832;GOTURIC;Dermocosmetica;184;71.44;NO
3833;GOVOLYX;Antiinflamatorio;210;80.56;SI
3834;GOXICARDIN;Analgesico;155;6.89;NO
3835;GRAFLOMED;Antihistaminico;231;95.56;SI
3836;GRAMACTAM;Dermocosmetica;166;51.79;SI
3837;GRANISETRON;Analgesico;137;75.07;NO
3838;GRAVAMIN;Dermocosmetica;130;93.09;NO
3839;GRAVAVIF;Dermocosmetica;168;68.82;NO
3840;GRAVAX;Antihistaminico;219;54.03;SI
3841;GRAVDAN;Broncodilatador;50;66.75;NO
3842;GRAVELOX;Antibiotico;61;23.28;NO
3843;GRAVERGOL;Analgesico;250;57.90;NO
3844;GRAVET;Broncodilatador;224;93.39;SI
3845;GRAVEX;Broncodilatador;212;57.22;NO
3846;GRAVICOLL;Antihistaminico;106;65.96;NO
3847;GRAVICOLL@;Antiacido;60;89.90;SI
3848;GRAVICOLL®;Antibiotico;82;11.09;SI
3849;GRAVICOR;Antibiotico;177;35.74;NO
3850;GRAVILEX;Antiinflamatorio;34;84.50;NO
3851;GRAVIMED;Antihistaminico;49;16.93;SI
3852;GRAVOL;Antiinflamatorio;120;28.45;SI
3853;GRAVOL 1;Antiacido;114;33.20;NO
3854;GRAVOL A/P;Antimicotico;242;98.34;NO
3855;GRAVOL CB;Analgesico;106;26.24;SI
3856;GRAVOL FORTE;Antimicotico;74;44.71;NO
3857;GRAVOL NF;Antiacido;171;14.78;NO
3858;GRAVOL PEDIATRICO;Antibiotico;20;79.77;SI
3859;GRAVOL PEDIATRICO NF;Antiinflamatorio;174;78.34;NO
3860;GRAVOX;Antigripal;29;46.41;SI
3861;GRAVOXIM;Dermocosmetica;58;74.43;NO
3862;GREXA;Antiacido;66;99.49;NO
3863;GRIFANTIL;Vitaminas;119;54.99;NO
3864;GRIFANTIL ANTIGRIPAL NF;Broncodilatador;119;77.76;NO
3865;GRIP-10;Antiinflamatorio;200;66.18;SI
3866;GRIPA C JUNIOR;Vitaminas;103;51.33;SI
3867;GRIPA C JUNIOR NF;Vitaminas;17;23.40;SI
3868;GRIPA C MAXIMA POTENCIA;Antiacido;157;13.92;NO
3869;GRIPA C MAXIMA POTENCIA NF;Vitaminas;208;56.23;NO
3870;GRIPACHECK;Dermocosmetica;130;5.96;SI
3871;GRIPACOLL FUERTE;Vitaminas;118;99.80;SI
3872;GRIPAFLUX - C;Antiinflamatorio;131;64.01;NO
3873;GRIPAFOR NF;Vitaminas;160;63.85;SI
3874;GRIPAFOR4;Antihistaminico;159;19.40;SI
3875;GRIPAFUE®;Antigripal;59;92.43;SI
3876;GRIPAGEST FORTE;Antiinflamatorio;234;16.32;SI
3877;GRIPAGEST FORTE NF;Vitaminas;72;87.32;SI
3878;GRIPAGRUP;Antiinflamatorio;232;39.88;NO
3879;GRIPALERT;Antihistaminico;64;4.84;NO
3880;GRIPALIV;Antiacido;198;93.74;NO
3881;GRIPAMAX;Dermocosmetica;46;99.34;SI
3882;GRIPAMEC;Antimicotico;95;63.72;SI
3883;GRIPAMEDIC C;Antiinflamatorio;90;53.10;NO
3884;GRIPAMEDIC N;Broncodilatador;147;98.43;NO
3885;GRIPAMEDIC®-C;Broncodilatador;168;40.21;SI
3886;GRIPAMYCIN CLASSIC;Antibiotico;0;72.29;NO
3887;GRIPAMYCIN COMPUESTO;Broncodilatador;163;92.39;SI
3888;GRIPA-NOT®;Antimicotico;49;75.16;NO
3889;GRIPASCIENS TOTAL;Dermocosmetica;158;53.37;NO
3890;GRIPSIN EXTRA FORTE;Antibiotico;14;68.22;NO
3891;GRIPSIN PLUS;Antiacido;44;98.82;SI
3892;GRUCONAX;Antigripal;72;95.32;NO
3893;GUAIFENESINA;Vitaminas;16;17.78;SI
3894;GUPILL;Antiacido;119;40.46;NO
3895;GUVARIX V;Vitaminas;53;38.36;NO
3896;GVIA - M;Antiinflamatorio;100;60.25;SI
3897;GYNEDIOL;Dermocosmetica;250;26.60;NO
3898;GYNFLU;Antibiotico;146;90.35;NO
3899;GYNO ZALAIN;Analgesico;187;22.31;SI
3900;GYNOCANESTEN;Antiinflamatorio;225;71.88;SI
3901;GYNOCANESTEN®;Broncodilatador;106;9.93;SI
3902;GYNOMAX;Antibiotico;168;51.62;NO
3903;GYNOMAX NF;Antiacido;145;14.68;SI
3904;GYNOPACK E;Antiinflamatorio;178;63.85;SI
3905;GYNOPACK-P;Broncodilatador;248;14.26;SI
3906;GYNOVAL FEM;Vitaminas;87;9.00;NO
3907;GYNO-ZALAIN;Antihistaminico;201;46.92;NO
3908;GYVAXOL DUO;Antiacido;34;79.23;SI
3909;HADENSA;Antihistaminico;143;19.80;NO
3910;HADENSA® NF;Antiinflamatorio;214;84.19;SI
3911;HAEMACCEL;Antimicotico;204;72.94;SI
3912;HALAVEN;Antiacido;176;60.44;NO
3913;HALDOL;Broncodilatador;44;48.84;NO
3914;HALDOL DECANOAS;Antibiotico;172;63.75;NO
3915;HALGEZE;Dermocosmetica;201;79.62;NO
3916;HALOPERIDOL;Antihistaminico;199;21.74;NO
3917;HALORICAL;Antiacido;5;34.51;SI
3918;HALOVATE;Antihistaminico;97;66.37;NO
3919;HALRIDOL 5;Antimicotico;149;17.89;SI
3920;HAMSYL®;Antimicotico;134;18.05;NO
3921;HANAKEDOL;Antimicotico;211;87.54;SI
3922;HANALFAST 10;Dermocosmetica;208;68.87;NO
3923;HANALFEM;Antihistaminico;154;59.86;SI
3924;HANALGEZE;Antigripal;3;35.27;NO
3925;HARDAL;Antihistaminico;74;81.58;NO
3926;HASHALL;Dermocosmetica;237;66.92;SI
3927;HAVRIX 720 JUNIOR;Antiinflamatorio;129;83.75;SI
3928;HAVRIX 720 UNIDADES DE ELISA;Analgesico;98;29.84;NO
3929;HAXANIT;Antigripal;62;92.60;NO
